iter	Passed	Remaining
0	53	21207
1	107	21375
2	153	20296
3	200	19866
4	248	19597
5	296	19456
6	339	19081
7	390	19149
8	437	19022
9	484	18894
10	529	18739
11	573	18543
12	628	18699
13	671	18516
14	720	18492
15	764	18357
16	810	18256
17	853	18108
18	897	17990
19	940	17872
20	984	17760
21	1028	17670
22	1073	17588
23	1122	17578
24	1177	17658
25	1225	17630
26	1273	17593
27	1316	17490
28	1359	17389
29	1402	17293
30	1446	17217
31	1486	17094
32	1530	17019
33	1570	16905
34	1609	16780
35	1651	16695
36	1696	16643
37	1746	16637
38	1794	16607
39	1835	16522
40	1876	16426
41	1922	16383
42	1961	16286
43	2007	16238
44	2048	16159
45	2090	16085
46	2133	16027
47	2178	15975
48	2219	15895
49	2269	15884
50	2311	15819
51	2359	15788
52	2396	15690
53	2436	15611
54	2478	15544
55	2519	15479
56	2565	15435
57	2610	15390
58	2651	15321
59	2693	15262
60	2739	15222
61	2785	15187
62	2838	15183
63	2881	15130
64	2920	15054
65	2963	14995
66	3010	14960
67	3051	14900
68	3097	14857
69	3137	14791
70	3181	14743
71	3228	14706
72	3271	14652
73	3315	14605
74	3359	14557
75	3399	14492
76	3445	14452
77	3489	14405
78	3531	14351
79	3576	14304
80	3616	14244
81	3661	14201
82	3700	14133
83	3744	14085
84	3785	14030
85	3830	13987
86	3879	13956
87	3921	13904
88	3960	13840
89	4001	13781
90	4049	13750
91	4097	13717
92	4142	13673
93	4186	13628
94	4229	13578
95	4269	13520
96	4324	13508
97	4368	13461
98	4415	13425
99	4461	13385
100	4503	13332
101	4546	13283
102	4594	13247
103	4634	13189
104	4675	13136
105	4721	13094
106	4765	13050
107	4812	13011
108	4851	12953
109	4891	12894
110	4941	12865
111	4981	12810
112	5023	12759
113	5062	12701
114	5106	12655
115	5151	12613
116	5196	12569
117	5238	12519
118	5283	12476
119	5323	12422
120	5364	12369
121	5405	12317
122	5453	12280
123	5498	12237
124	5544	12197
125	5588	12151
126	5629	12100
127	5675	12060
128	5715	12006
129	5756	11955
130	5799	11909
131	5839	11856
132	5880	11804
133	5924	11759
134	5971	11722
135	6021	11688
136	6062	11638
137	6105	11591
138	6156	11559
139	6198	11511
140	6239	11461
141	6280	11411
142	6323	11364
143	6369	11323
144	6408	11270
145	6451	11223
146	6499	11186
147	6547	11147
148	6591	11103
149	6632	11053
150	6676	11009
151	6719	10962
152	6761	10915
153	6806	10873
154	6851	10830
155	6893	10781
156	6941	10743
157	6985	10699
158	7034	10661
159	7082	10623
160	7123	10575
161	7167	10530
162	7215	10491
163	7258	10445
164	7308	10409
165	7351	10362
166	7402	10327
167	7445	10281
168	7486	10232
169	7528	10185
170	7573	10142
171	7620	10101
172	7666	10059
173	7705	10008
174	7747	9960
175	7789	9913
176	7829	9864
177	7871	9816
178	7913	9770
179	7954	9722
180	8004	9684
181	8047	9639
182	8094	9598
183	8147	9564
184	8190	9519
185	8230	9469
186	8274	9425
187	8317	9379
188	8360	9333
189	8404	9288
190	8446	9242
191	8490	9198
192	8531	9150
193	8579	9110
194	8622	9064
195	8674	9028
196	8717	8983
197	8761	8938
198	8804	8892
199	8846	8846
200	8888	8799
201	8931	8754
202	8971	8705
203	9012	8658
204	9052	8611
205	9095	8565
206	9139	8521
207	9190	8483
208	9234	8439
209	9274	8391
210	9315	8344
211	9357	8298
212	9403	8255
213	9446	8210
214	9491	8167
215	9534	8122
216	9576	8075
217	9615	8027
218	9658	7982
219	9698	7935
220	9746	7894
221	9785	7846
222	9830	7802
223	9876	7759
224	9922	7717
225	9963	7671
226	10004	7624
227	10047	7579
228	10091	7535
229	10133	7489
230	10176	7444
231	10215	7397
232	10263	7356
233	10304	7310
234	10345	7264
235	10394	7222
236	10439	7179
237	10483	7135
238	10522	7088
239	10567	7044
240	10613	7002
241	10657	6957
242	10699	6912
243	10742	6868
244	10783	6822
245	10832	6781
246	10873	6735
247	10917	6691
248	10960	6646
249	11002	6601
250	11044	6556
251	11087	6511
252	11128	6466
253	11170	6420
254	11210	6374
255	11253	6330
256	11298	6286
257	11352	6248
258	11394	6202
259	11441	6161
260	11482	6115
261	11521	6068
262	11568	6026
263	11615	5983
264	11655	5937
265	11694	5890
266	11736	5846
267	11779	5801
268	11823	5758
269	11875	5717
270	11922	5675
271	11966	5631
272	12010	5587
273	12056	5544
274	12099	5499
275	12142	5455
276	12185	5410
277	12231	5367
278	12275	5323
279	12320	5280
280	12361	5235
281	12408	5192
282	12447	5145
283	12488	5101
284	12529	5055
285	12574	5012
286	12616	4967
287	12662	4924
288	12704	4879
289	12745	4834
290	12788	4790
291	12830	4745
292	12871	4700
293	12911	4655
294	12961	4613
295	13000	4567
296	13045	4524
297	13091	4481
298	13134	4436
299	13175	4391
300	13220	4348
301	13262	4303
302	13303	4258
303	13347	4215
304	13391	4171
305	13433	4126
306	13483	4084
307	13529	4041
308	13572	3997
309	13616	3953
310	13668	3911
311	13710	3867
312	13753	3822
313	13796	3778
314	13840	3734
315	13885	3691
316	13928	3646
317	13974	3603
318	14030	3562
319	14072	3518
320	14115	3473
321	14161	3430
322	14203	3385
323	14246	3341
324	14289	3297
325	14329	3252
326	14371	3208
327	14413	3163
328	14456	3119
329	14498	3075
330	14551	3033
331	14594	2989
332	14637	2945
333	14680	2901
334	14722	2856
335	14763	2812
336	14805	2767
337	14845	2723
338	14889	2679
339	14933	2635
340	14977	2591
341	15021	2547
342	15062	2503
343	15116	2460
344	15156	2416
345	15200	2372
346	15242	2328
347	15291	2284
348	15331	2240
349	15377	2196
350	15419	2152
351	15463	2108
352	15506	2064
353	15549	2020
354	15592	1976
355	15641	1933
356	15687	1889
357	15729	1845
358	15771	1801
359	15813	1757
360	15855	1712
361	15892	1668
362	15933	1624
363	15976	1580
364	16020	1536
365	16068	1492
366	16114	1448
367	16156	1404
368	16204	1361
369	16248	1317
370	16292	1273
371	16334	1229
372	16377	1185
373	16421	1141
374	16465	1097
375	16511	1053
376	16554	1009
377	16596	965
378	16636	921
379	16677	877
380	16727	834
381	16771	790
382	16814	746
383	16855	702
384	16898	658
385	16940	614
386	16980	570
387	17019	526
388	17059	482
389	17100	438
390	17139	394
391	17182	350
392	17223	306
393	17272	263
394	17313	219
395	17358	175
396	17399	131
397	17443	87
398	17482	43
399	17523	0
